"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"pii1","Smashed","Burgers",0.0,0,"hong kong","Shop H, UG/F, Hang Hing Court, 123-125 Third Street, Sai Ying Pun,"
"ijnt","Chun Sun Tea Shop","Bubble Tea",0.0,0,"hong kong","Shop D, G/F, 150 Wan Chai Road, Wan Chai,"
"b1km","Dragonking Dim Sum","Dim Sum ",4.8,1236,"hong kong","Shop D, G/F, Lap Hing Building, 275-285 Hennessy Road, Wan Chai,"
"v1ok","Chui King Lau","Cantonese",4.6,136,"hong kong","Shop B, G/F & 1/F, CKK Commercial Centre, 289 Hennessy Road, Wan Chai,"
"h746","Yuli Savor","Bubble Tea",4.9,223,"hong kong","Shop 4, G/F, 124-126 Wan Chai Road, Wan Chai,"
"we28","Rose Kitchen [Extended Delivery]","Hong Kong",4.9,75,"hong kong","1/F, Wanchai Commercial Centre, 194-204 Johnston Road, Wan Chai,"
"vbgn","Noodle Master (Wan Chai) [Extended Delivery]","Cart Noodles",0.0,0,"hong kong","Shop 13, G/F, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai,"
"donm","Tea Factory","Drinks",5.0,14,"hong kong","Shop D, G/F, Kam Fung Mansion, 59-61 Bonham Road, Sai Ying Pun,"
"v4us","Megan's Kitchen (Wan Chai)","Cantonese",4.9,136,"hong kong","5/F, Lucky Centre, 165-171 Wan Chai Road, Wan Chai,"
"m1zo","K&K Tea House","Cha Chaan Teng",4.9,600,"hong kong","Shop A, G/F, Hong Ming Building, 227-233 Des Voeux Road West, Sai Ying Pun,"
"cd1s","Siu Ma Gor Noodle","Rice Noodles",5.0,12,"hong kong","Shop A & B, G/F, 211 Johnston Road, Wan Chai,"
"ns6t","Dalat Vietnamese Restaurant (Lockhart Road)","Vietnamese",4.8,12,"hong kong","Shop B, G/F, Tung Shing Building, 272A Lockhart Road, Wan Chai,"
"nb5b","Han Sik Mama (Sai Ying Pun)","Korean",4.9,1451,"hong kong","G/F, Fook Moon Building, 56-72 Third Street, Sai Ying Pun, H.K,"
"x1pw","Nepali Ghar","International",4.8,54,"hong kong","Shop 8, G/F, Goodwill Garden, 75-85 Third Street, Sai Ying Pun, Western District,"
"aveg","Sips;;lban","Korean",0.0,0,"hong kong","Shop OTG61, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui,"
"s1sj","Istanbul Turkish Kebabs & Grills","Kebab",4.9,1554,"hong kong","Shop 3, G/F, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai,"
"c4hf","Backyard Styling Room","Coffee",0.0,0,"hong kong","G/F, 81 High Street, Western District,"
"w8ud","Tat Ho Jai","Cart Noodles",5.0,1094,"hong kong","Shop 3, G/F, General Building, 6-14 Centre Street, Sai Ying Pun,"
"s0qp","Pizza Time (Sai Ying Pun)","Pizza",4.6,998,"hong kong","Shop 4, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun, Western District,"
"s2mg","Chrisly Cafe (Wan Chai)","Cha Chaan Teng",4.9,2594,"hong kong","Shop B1, G/F, Kwong Sang Hong Building, 6 Heard Street, Wan Chai,"
"zxzr","Eden","Taiwanese",4.9,796,"hong kong","Shop A, G/F, Zion Court, 95A-95B High Street, Sai Ying Pun,"
"mbdr","Crazy Chicken (Wan Chai)","Hong Kong",5.0,955,"hong kong","G/F, Wang Gee Building, 254 Hennessy Road, Wan Chai,"
"asl6","Wa Kee (Sai Wan)","Cart Noodles",4.9,2322,"hong kong","G/F, 40 Centre Street, Sai Ying Pun,"
"xlz2","Face To Face Noodles","Hong Kong",4.8,13,"hong kong","G/F, 5 Burrows Street, Wan Chai,"
"w6xy","Phở Sài Gòn Vietnamese Cuisine","Vietnamese",4.8,1568,"hong kong","Shop C-D, G/F, Kwong Sang Hong Building, 6 Heard Street, Wan Chai,"
"jdrb","Rainbow Restaurant","Cha Chaan Teng",4.7,102,"hong kong","Shop 3, G/F, Block B, Kwong Sang Hong Building, 6 Heard Street, Wan Chai,"
"gy9z","Eureka","Japanese",4.9,30,"hong kong","Shop 5, G/F, Shun Tai Building, 121 First Street, Sai Ying Pun,"
"vo1l","BBQ King (Wan Chai) [Extended Delivery]","Skewers",0.0,0,"hong kong","Shop 13, G/F, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai,"
"npdy","Big Buns","Sandwich",4.9,49,"hong kong","Shop G16, G/F, Emperor Group Centre, 288 Hennessy Road, Wan Chai,"
"itm6","I Love Babycakes","Cakes",4.9,10,"hong kong","G/F, 15 Lung On Street, Wan Chai,"
"tpby","Ciao Chow (Sai Ying Pun)","Pizza",4.8,178,"hong kong","Shops 1 & 2, G/F, High Park 99, 35 Western Street, Sai Wan,"
"brtl","Kowloon Station (Tsim Sha Tsui)","Hong Kong",0.0,0,"hong kong","Shop KP-02, G/F, Star Ferry Pier, Tsim Sha Tsui,"
"v7mf","Tandoori Flames (Sai Ying Pun)","Indian",4.7,819,"hong kong","Shop 4, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun,"
"q20j","Pitstop Bar And Grill","Western",0.0,0,"hong kong","Shop 14, 1/ F, Causeway Centre, 28 Harbour Road, Wai Chai,"
"v6zz","Sabah Malaysian Cuisine","Malaysian",4.9,451,"hong kong","Shop 1, G/F, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai,"
"t9nk","Ming Fat Restaurant","Cha Chaan Teng",4.8,528,"hong kong","G/F, 49 Bonham Road, Mid-Levels,"
"dp9b","Lok Yong Yong Hand-pulled Noodles","Shanghainese",0.0,0,"hong kong","G/F, 345 Queen's Road West, Sai Ying Pun,"
"kbiz","CCT by Shop B","Cantonese",0.0,0,"hong kong","Shop D, G/F, 119B Second Street, Sai Ying Pun,"
"a338","Hoi Shuen Restaurant","Hong Kong",4.8,20,"hong kong","Shop B & C, G/F, Wan Chai Commercial Centre, 194-204 Johnston Road, Wan Chai,"
"ysir","Dimples Hotpot (Wan Chai) [Extended Delivery]","Hot Pot",0.0,0,"hong kong","Shop 13, G/F, Pao Woo Mansion, 177-179 Wan Chai Road, Wan Chai,"
"rise","Serenade Chinese Restaurant (Hong Kong Cultural Centre)","Chinese",0.0,0,"hong kong","Podium Floor 1-2/F, Restaurant Block, Hong Kong Cultural Centre, 10 Salisbury Road, Tsim Sha Tsui,"
"v6bj","Cheung Hong Yuen Restaurant","Cha Chaan Teng",4.5,597,"hong kong","1/F, Chung Wui Mansion, 128-150 Wan Chai Road, Wan Chai,"
"v8as","Ba Yi Restaurant","Chinese",4.9,201,"hong kong","G/F, Wai On House, 43 Water Street, Sai Ying Pun,"
"q3fw","Junelsrestobar","Filipino",4.9,348,"hong kong","Shop 1G, B/F, Tung Lee Mansion, 7 On Ning Lane, Sai Ying Pun,"
"w0wo","Lee House Restaurant","Cantonese",4.5,145,"hong kong","2/F, OfficePlus@Wanchai, 303 Hennessy Road, Wan Chai,"
"c3a6","Fat Girl Juice Specialist","Hong Kong",5.0,109,"hong kong","B4, G/F, Kam Koon Building, 310 Lockhart Road, Wan Chai, Hong Kong,"
